GeneID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B9J08_03209	2179.38180406289	8.68280713297541	0.473666875123672	18.3310414744716	4.67860433302695e-75	2.50352117860272e-71
B9J08_04863	9634.93998824262	-3.13207526596757	0.182983979163984	-17.1166638755883	1.11484071508351e-65	2.9827563332059297e-62
B9J08_01957	397.829944342265	-3.66163701815853	0.24205380939932	-15.1273678660346	1.06885757644787e-51	1.90648563052419e-48
B9J08_00369	13835.8786191767	-2.47672994400211	0.18566476694322	-13.3397950767877	1.35832406476124e-40	1.81709801763435e-37
B9J08_03708	3977.5968714408	-4.52534576872077	0.397108503885968	-11.3957412758409	4.3907698810922496e-30	4.6990019267449296e-27
B9J08_01749	57.0015459650355	-4.91422117000111	0.446704308813336	-11.0010605965626	3.7766360648601797e-28	3.3681299305111304e-25
B9J08_05199	565.260826949113	-1.61407649507316	0.165345521025364	-9.76183984340017	1.64149822031502e-22	1.2548081395579502e-19
B9J08_04503	19305.3052698484	-2.97057186311409	0.320136566545644	-9.2790770363015	1.70952956790481e-20	1.14346158973233e-17
B9J08_02553	180.651675666946	-2.47748451223147	0.274371806284539	-9.0296614137612	1.7220377307827402e-19	1.02384709971316e-16
B9J08_05114	1173.95027751058	1.35013245457707	0.159873034426327	8.44502926601571	3.03969292529992e-17	1.62653968432799e-14
B9J08_05200	1941.96349797446	-2.27105241649982	0.276706601861399	-8.20743849703078	2.25957137903719e-16	1.09917876811164e-13
B9J08_03961	2009.64535760261	1.02050766105846	0.125282319182554	8.14566387114395	3.77206616557683e-16	1.68202717100014e-13
B9J08_05249	539.865167940366	-1.83568089456884	0.239135648254507	-7.67631638347441	1.63728457976412e-14	6.7393152202444495e-12
B9J08_00052	102.858096674293	-2.10462633443761	0.27512635747948	-7.64967178615222	2.01492934259158e-14	7.70134779443395e-12
B9J08_05078	1983.01810755596	-1.80677195531926	0.241400869618275	-7.48452960495253	7.18038475239781e-14	2.56148258733871e-11
B9J08_01119	324.293767132649	-1.34671106368491	0.180786056932605	-7.44919761255125	9.39096195082264e-14	3.14068983742825e-11
B9J08_00017	222.470817942939	3.25330251694845	0.438923046467362	7.4120111557878	1.24398290316934e-13	3.9156191263877396e-11
B9J08_00020	272.586052633538	3.15447844994017	0.426744695366213	7.39195702768641	1.44683290524231e-13	4.301112708862e-11
B9J08_00684	1148.1954940053	-1.8062899796605	0.246709855619684	-7.32151528816501	2.45186383707544e-13	6.905222837995101e-11
B9J08_01770	2141.32679048803	-1.36687424293538	0.192091552871572	-7.11574362590137	1.11311035665947e-12	2.97812675924242e-10
B9J08_01373	134.823760988077	-1.72245699104071	0.251273833785167	-6.85489995155391	7.1362445401327096e-12	1.81838307305953e-09
B9J08_03730	1192.36506060004	-1.08822212728956	0.161223201120242	-6.7497861333119	1.4806324043597e-11	3.6013018162403303e-09
B9J08_00967	240.403790872142	-1.77454842392874	0.269861913187568	-6.57576463076261	4.84037719524854e-11	1.12612427703369e-08
B9J08_00777	24600.2308894913	-2.08467969610516	0.319368729125929	-6.52750099175539	6.68760650783508e-11	1.49105760097606e-08
B9J08_02807	2709.12951038123	-1.76990717618026	0.271944875496826	-6.50833067895376	7.599049680248859e-11	1.62650059356047e-08
B9J08_04436	256.683534444002	-1.80256448202355	0.277680594978458	-6.49150324012879	8.498408301407039e-11	1.74903780080112e-08
B9J08_00191	1737.66470644963	-1.1389207060226	0.175881405729413	-6.47550377084652	9.44961273998739e-11	1.87277325080269e-08
B9J08_03612	2939.08387764327	-2.43208674837238	0.381429147581878	-6.37624776132325	1.81479252920256e-10	3.46819815134389e-08
B9J08_04504	210.399930316801	-1.57349713513474	0.250044555999044	-6.2928670006347	3.11655356475123e-10	5.75057866378753e-08
B9J08_04852	3961.61332568766	-1.66859866509081	0.266319707708848	-6.26539687748152	3.71877035995678e-10	6.47027695735004e-08
B9J08_02346	588.369414378297	-1.87124672771145	0.298722744404861	-6.26415886557113	3.74843180111851e-10	6.47027695735004e-08
B9J08_03823	174.348735227514	-1.36422614129561	0.2181598881113	-6.25333168762727	4.01787544374468e-10	6.71864109358681e-08
B9J08_02682	3020.21915479242	-2.45399636095207	0.392946561045319	-6.24511474136313	4.23489118125862e-10	6.86694021542876e-08
B9J08_03505	1491.26502245019	-1.54889304322353	0.248956500117233	-6.22154088161651	4.92295843484432e-10	7.7478678190741e-08
B9J08_00140	529.059982298855	1.35732307245377	0.218687979967989	6.20666518869693	5.41207294665579e-10	8.27428638215861e-08
B9J08_03885	269.933122747238	-1.29618847177609	0.214407661300756	-6.04543915974106	1.49003571535842e-09	2.21477253135636e-07
B9J08_04438	1061.8000114494	-1.30128019121782	0.218963944698026	-5.94289709665407	2.80028237271522e-09	3.99066447933576e-07
B9J08_03889	4233.97129668188	1.65794757277454	0.279071692373051	5.94093782381291	2.83396094589346e-09	3.99066447933576e-07
B9J08_02603	29727.9863462774	1.03903904613147	0.17571884262914	5.91307699609879	3.35775118383982e-09	4.53234767717278e-07
B9J08_04046	11066.4200312463	-1.63770881565681	0.278604880342513	-5.87824884346402	4.146293000030421e-09	5.41141801052751e-07
B9J08_05587	482.489680713999	-1.15327017090202	0.199065106103039	-5.7934320759615	6.8962383804137305e-09	8.27103701011229e-07
B9J08_02614	2691.31383450032	2.04758294429988	0.353519644856133	5.79199197015816	6.955646896936151e-09	8.27103701011229e-07
B9J08_02356	205.470826212489	-1.74062349372997	0.300238324932701	-5.79747270479256	6.7321733659127706e-09	8.27103701011229e-07
B9J08_00512	22941.5679490752	-1.44741236356092	0.249727451383563	-5.79596818668445	6.7928140637499606e-09	8.27103701011229e-07
B9J08_04082	896.062521500658	-1.2956503341565	0.224535358066384	-5.77036216172886	7.91013450782004e-09	9.00577228752022e-07
B9J08_03871	18097.8455063542	-1.20204472560311	0.208193927831826	-5.77367811886469	7.7559534902934e-09	9.00577228752022e-07
B9J08_05361	2481.62271775259	-1.24977760857609	0.217698293229908	-5.74087003638662	9.41913597791578e-09	1.05003742953807e-06
B9J08_04518	1149.40416557345	-2.05789269687294	0.359800514363522	-5.71953795150432	1.06814115529586e-08	1.16645373918125e-06
B9J08_03239	1471.62697272533	-1.86126891444713	0.326827917592049	-5.69495081130244	1.23407494442266e-08	1.32070700552113e-06
B9J08_00689	454.446667186124	-2.16878136606335	0.381184761176426	-5.68958045271793	1.27351878077796e-08	1.33619588155742e-06
B9J08_03021	148.151478585666	1.68553554052913	0.298364510720041	5.64924942467667	1.61149894534099e-08	1.65829439548455e-06
B9J08_01766	213.756917816847	2.74490657608704	0.487796132728891	5.62715936416128	1.83201459598114e-08	1.84964341567832e-06
B9J08_04866	2855.65720323608	-2.56386321731239	0.456475152863648	-5.61665449089236	1.94690177928634e-08	1.92923544832615e-06
B9J08_02549	1456.89781875258	-1.34452332786592	0.240964900337448	-5.57974761462372	2.40867826821103e-08	2.34342498421768e-06
B9J08_05289	747.796644338584	-1.197074339866	0.216768265777472	-5.52236894811383	3.34459248641983e-08	3.08567489566078e-06
B9J08_00877	1061.09418126786	-1.30992528436176	0.23909571361318	-5.47866486005272	4.28547186294398e-08	3.88670507434122e-06
B9J08_00798	654.434539747323	-2.07370003715992	0.381300302910934	-5.43849564589596	5.37323227784298e-08	4.79202765312296e-06
B9J08_02551	308.314112292709	-1.01380221738842	0.186607050971306	-5.43281838554058	5.54708576491405e-08	4.86597638164837e-06
B9J08_02552	147.423733435159	-1.72600623821264	0.318642231936263	-5.41675291352429	6.06911197246325e-08	5.23803518784691e-06
B9J08_03290	1138.70055107001	1.80100844353899	0.333261392536155	5.40419167618883	6.51012997851956e-08	5.44444690042321e-06
B9J08_01989	14272.6998858346	-1.52352429167063	0.281917645095766	-5.40414662996031	6.51176605544918e-08	5.44444690042321e-06
B9J08_03382	5872.33621433157	-1.15425651322782	0.214424474438155	-5.3830446186344	7.32363749517603e-08	6.02904372872107e-06
B9J08_05250	299.305508806735	-1.58678857711498	0.296537841625275	-5.35104918960105	8.74457461820442e-08	7.08973011848664e-06
B9J08_01761	3870.92712137325	1.34258351411534	0.254770050947989	5.26978547564616	1.36583292939635e-07	1.05921333408694e-05
B9J08_05269	1542.90636614614	-1.01147767931492	0.195617047414308	-5.17070312983847	2.33214811233076e-07	1.70949651357286e-05
B9J08_02750	936.944257870207	-1.57172511172435	0.305962232889459	-5.13699059155514	2.79172926583682e-07	2.0187220677693e-05
B9J08_01552	1383.53591114596	-1.33292015273342	0.260053597123674	-5.12555937497577	2.96655656771269e-07	2.11653922584408e-05
B9J08_03964	2477.6685258449	-1.39351143622252	0.272319398855582	-5.11719488981954	3.10113144625985e-07	2.18344136433375e-05
B9J08_03542	201.019913737069	1.62869643795301	0.318898305274432	5.10725962168854	3.26864508608334e-07	2.27149608514701e-05
B9J08_02306	918.133046173765	-1.16447199287934	0.229914204424198	-5.06481100546035	4.08805722069022e-07	2.80451207537351e-05
B9J08_04263	8073.31445598549	-1.87407354916174	0.374134612302959	-5.00908894161384	5.46882973163718e-07	3.65796348674882e-05
B9J08_02802	1110.04891093285	1.15728106263638	0.231007492376007	5.00971224237479	5.45114801002947e-07	3.65796348674882e-05
B9J08_05570	3616.21686608133	-1.50760743122686	0.304830848043677	-4.94571806266423	7.5863692512147e-07	4.8699232082879e-05
B9J08_05266	160.018514153899	-1.30981851968298	0.264806016745491	-4.94633217092596	7.56248693220699e-07	4.8699232082879e-05
B9J08_05132	17820.1510085533	1.92305880221601	0.389002993727893	4.94355784716964	7.67095743522236e-07	4.8699232082879e-05
B9J08_00091	1436.13585907443	-2.27191362092571	0.459723144675343	-4.94191699338986	7.73581522527511e-07	4.8699232082879e-05
B9J08_00874	5397.65011243258	1.14246469985124	0.231551383227356	4.93395756884542	8.05799523617562e-07	5.01375959404369e-05
B9J08_03678	1445.72384231964	1.24399603762753	0.253645704238068	4.90446326053262	9.36831534111076e-07	5.76205234371077e-05
B9J08_02886	9206.6001425718	-1.3513345144286	0.276838045476733	-4.88131792760463	1.05379190527897e-06	6.33577582600872e-05
B9J08_05391	3510.27015928423	-2.43208918009917	0.498582608134682	-4.87800645353075	1.07163419578852e-06	6.37146064629374e-05
B9J08_05586	289.021057928423	-1.28660005791254	0.264797099809984	-4.85881476358992	1.18090552080044e-06	6.9439840019815e-05
B9J08_01025	3643.14913816949	-1.66471045594313	0.34289449204435	-4.85487662988712	1.20461715146176e-06	7.00641997551291e-05
B9J08_01048	528.511810985523	1.03254733416411	0.212863596266574	4.85074645112649	1.22997697061872e-06	7.07699652664596e-05
B9J08_04428	116.764940406971	-6.84682422308199	1.41333443516727	-4.84444732450863	1.26964595375007e-06	7.15144789317537e-05
B9J08_02735	1175.73297588571	1.12742838922908	0.233092708823975	4.83682391833408	1.31930200136608e-06	7.27792269001019e-05
B9J08_01988	4040.53929155579	-1.10484842946907	0.228852828046232	-4.82776830376714	1.38071599269243e-06	7.53899109887469e-05
B9J08_02128	240.140336076182	1.0096265844091	0.21036877463881	4.79931770360197	1.59207072507067e-06	8.60522267661932e-05
B9J08_02539	11388.6483728495	-1.77316197294078	0.371094870239235	-4.77819047134139	1.76879788007217e-06	9.4648374562662e-05
B9J08_01608	1882.97624839085	-1.35983000871145	0.286185590515654	-4.75156700329071	2.01846249960327e-06	0.0001069385429245
B9J08_05592	306.915301134018	2.1846289601079	0.460076959927986	4.74839896449031	2.05033271127799e-06	0.0001075620621377
B9J08_05305	133.976299704221	1.85028870224233	0.391137769337625	4.73052936149764	2.23935134134135e-06	0.0001159622661175
B9J08_05272	1534.1879908999	1.0386382705779	0.21962129876232	4.72922378854495	2.25379848182171e-06	0.0001159622661175
B9J08_03541	2035.93151185911	-1.34487785974733	0.285657859119885	-4.7080023069938	2.50156271025329e-06	0.0001262817175713
B9J08_00566	1714.30201627633	-1.67605925078074	0.355954932719187	-4.70862768490691	2.49390122893432e-06	0.0001262817175713
B9J08_03025	285.593110108829	1.27595890285121	0.271744525680813	4.69543553694228	2.66039259214104e-06	0.0001306033097297
B9J08_02355	5053.02978923706	-1.16341753228333	0.247694915271936	-4.69697785683669	2.64039063091582e-06	0.0001306033097297
B9J08_05212	1113.47705690196	-1.39176035917461	0.296711858497425	-4.69061252294602	2.72388379463904e-06	0.0001313108304965
B9J08_03870	408.497889336553	-2.32123285107709	0.495659379197631	-4.68312100708087	2.82539603238006e-06	0.0001328940336741
B9J08_01235	51852.3939943793	-1.53179972883158	0.327119034653431	-4.68269824302477	2.83123151539043e-06	0.0001328940336741
B9J08_02251	953.147871200591	-1.26941882892743	0.271426697267873	-4.67683850448444	2.91331510189721e-06	0.00013555781835
B9J08_05119	9311.52785855582	-1.9149059012429	0.410215637576032	-4.66804706070714	3.04076259521648e-06	0.0001392183941776
B9J08_04867	157.586073965997	-1.0459003462155	0.224149795247753	-4.6660776337514	3.07003747205357e-06	0.0001392183941776
B9J08_01307	219.047362879528	-1.29979617912558	0.278521465874216	-4.66677200281784	3.05968518293083e-06	0.0001392183941776
B9J08_03222	4011.40176393573	-1.18696603384255	0.254679497380312	-4.66062657595893	3.15248220331874e-06	0.0001405744355829
B9J08_02030	2363.29487430083	-1.08524396074416	0.232829719277969	-4.66110582493346	3.14514947618554e-06	0.0001405744355829
B9J08_04587	346.862502738482	-1.97741487231221	0.424584502726972	-4.65729403596198	3.20392693167969e-06	0.0001416877108381
B9J08_02876	3147.80152521028	1.5466056003379	0.332711047476681	4.64849487886724	3.34365921592302e-06	0.0001454627680032
B9J08_05243	113.430189757204	1.41009687371593	0.304102001322322	4.63692072917779	3.53637956930162e-06	0.0001526061860913
B9J08_02170	4574.84129176064	-2.17057144692929	0.468498272663675	-4.63304044770191	3.60334102891279e-06	0.0001542518227656
B9J08_04434	597.025122881365	1.03028753923445	0.222570866234942	4.62903144810918	3.67379979456548e-06	0.0001558801300552
B9J08_01253	1188.1340154532	-1.43914630325576	0.310993311346079	-4.62757959978841	3.69964053766e-06	0.0001558801300552
B9J08_02137	23418.1769631619	-2.05547768665806	0.445071639970502	-4.61830748594606	3.8688267678961e-06	0.0001604813336047
B9J08_05224	3192.58914758063	1.55641861055864	0.337387358356715	4.61315035079961	3.96611190300128e-06	0.0001632512676381
B9J08_03238	1481.34149630608	-1.44866888624536	0.314273117112935	-4.60958576270709	4.03472069993595e-06	0.0001648075608042
B9J08_00009	853.55493668606	-1.6943085198094	0.368920158982839	-4.5926157152291	4.37724653606441e-06	0.0001774442895036
B9J08_04930	174.034041614972	-2.2599662471688	0.495119247355313	-4.56448877566453	5.00712988130533e-06	0.0001984677925545
B9J08_03573	4433.36532781756	-1.65875436699529	0.364875628020354	-4.54608156756022	5.46538628188628e-06	0.0002134692116377
B9J08_03322	900.405363616619	-1.01708880539681	0.225042669646551	-4.51953759255625	6.1974842933567e-06	0.0002403096989402
B9J08_03085	1218.43586390273	-2.03318230422716	0.450424230989318	-4.51392745847943	6.36379918229394e-06	0.0002449833771543
B9J08_01602	183.693109978351	-1.05940007073273	0.235030496871505	-4.5075004513645	6.55957912442198e-06	0.0002505799754577
B9J08_00331	8316.31084193533	-2.221312660722	0.493634138227932	-4.49991702092599	6.79799937684544e-06	0.0002561696807429
B9J08_03100	6790.31941657271	-1.4026385217694	0.312255342356304	-4.49196004521484	7.05706651174856e-06	0.0002640724678627
B9J08_02945	4661.82403104586	-2.04956675673229	0.457194323373755	-4.48292258225783	7.36276462206591e-06	0.00026801464961
B9J08_00262	460.403516745545	1.56391266280174	0.34885986990985	4.48292508738789	7.36267815558744e-06	0.00026801464961
B9J08_00019	586.670787881471	2.88641182752832	0.645193343874558	4.47371606500874	7.68718046182051e-06	0.0002766607255124
B9J08_00745	3869.79292378713	-1.23162965589899	0.277735919171426	-4.43453500567493	9.22712268245784e-06	0.0003248311412752
B9J08_04396	642.823749795879	-1.04195219074017	0.235167402344688	-4.43068291077589	9.39351307283496e-06	0.0003277670316348
