Gene_ID_v2	Gene_ID_v3	LFC
B9J08_003891	B9J08_03891	4.951269586
B9J08_001458	B9J08_01458	4.466069724
B9J08_004100	B9J08_04100	3.676295329
B9J08_004109	B9J08_04109	3.139694524
B9J08_004544	B9J08_04544	2.976287487
B9J08_000846	B9J08_00846	2.865475738
B9J08_004451	B9J08_04451	2.859214855
B9J08_004112	B9J08_04112	2.557540007
B9J08_002459	B9J08_02459	2.548008686
B9J08_000595	B9J08_00595	2.493072142
B9J08_001899	B9J08_01899	2.4828413
B9J08_000724	B9J08_00724	2.455685682
B9J08_001362	B9J08_01362	2.451522275
B9J08_002381	B9J08_02381	2.428297226
B9J08_004987	B9J08_04987	2.32189263
B9J08_001621	B9J08_01621	2.26987352
B9J08_004446	B9J08_04446	2.263328713
B9J08_004176	B9J08_04176	2.232642501
B9J08_001861	B9J08_01861	2.22866037
B9J08_000211	B9J08_00211	2.177339215
B9J08_002830	B9J08_02830	2.163892434
B9J08_004560	B9J08_04560	2.142302469
B9J08_002847	B9J08_02847	2.135264739
B9J08_001484	B9J08_01484	2.108894526
B9J08_002919	B9J08_02919	2.082422217
B9J08_002940	B9J08_02940	2.082323916
B9J08_000178	B9J08_00178	2.053001254
B9J08_001581	B9J08_01581	2.050865566
B9J08_003628	B9J08_03628	2.042873445
B9J08_000987	B9J08_00987	2.042729595
B9J08_004559	B9J08_04559	2.039970517
B9J08_002012	B9J08_02012	2.029473547
B9J08_004628	B9J08_04628	2.005229378
B9J08_001552	B9J08_01552	1.985906968
B9J08_004365	B9J08_04365	1.915348634
B9J08_002668	B9J08_02668	1.901935076
B9J08_002261	B9J08_02261	1.88528793
B9J08_005380	B9J08_05380	1.867264086
B9J08_002166	B9J08_02166	1.864983413
B9J08_000388	B9J08_00388	1.855629002
B9J08_004148	B9J08_04148	1.83859351
B9J08_002239	B9J08_02239	1.83719299
B9J08_004477	B9J08_04477	1.833153457
B9J08_004905	B9J08_04905	1.826470329
B9J08_004324	B9J08_04324	1.807221971
B9J08_002825	B9J08_02825	1.804897175
B9J08_004167	B9J08_04167	1.803291155
B9J08_004840	B9J08_04840	1.797889194
B9J08_000592	B9J08_00592	1.79647397
B9J08_003109	B9J08_03109	1.784507901
B9J08_005394	B9J08_05394	1.779222383
B9J08_000581	B9J08_00581	1.775123218
B9J08_000849	B9J08_00849	1.764802145
B9J08_002624	B9J08_02624	1.763382585
B9J08_003514	B9J08_03514	1.73567433
B9J08_001956	B9J08_01956	1.732207345
B9J08_000594	B9J08_00594	1.722071303
B9J08_000398	B9J08_00398	1.717495093
B9J08_001551	B9J08_01551	1.708787881
B9J08_001613	B9J08_01613	1.707778924
B9J08_000007	B9J08_00007	1.691857119
B9J08_001538	B9J08_01538	1.683834749
B9J08_001323	B9J08_01323	1.679460215
B9J08_002707	B9J08_02707	1.67784082
B9J08_003466	B9J08_03466	1.668693237
B9J08_004892	B9J08_04892	1.66375017
B9J08_004831	B9J08_04831	1.662637549
B9J08_003167	B9J08_03167	1.661568244
B9J08_002423	B9J08_02423	1.647947837
B9J08_001225	B9J08_01225	1.645973337
B9J08_005163	B9J08_05163	1.636878535
B9J08_004445	B9J08_04445	1.629822546
B9J08_003223	B9J08_03223	1.626887784
B9J08_004878	B9J08_04878	1.605949679
B9J08_002240	B9J08_02240	1.604067237
B9J08_004545	B9J08_04545	1.595640047
B9J08_001588	B9J08_01588	1.594240477
B9J08_002734	B9J08_02734	1.584046947
B9J08_000792	B9J08_00792	1.567479605
B9J08_000017	B9J08_00017	1.556398803
B9J08_003007	B9J08_03007	1.544645383
B9J08_003454	B9J08_03454	1.542102818
B9J08_001255	B9J08_01255	1.54170909
B9J08_002735	B9J08_02735	1.539355861
B9J08_003374	B9J08_03374	1.530226507
B9J08_000030	B9J08_00030	1.521147411
B9J08_001181	B9J08_01181	1.517429093
B9J08_002560	B9J08_02560	1.509810326
B9J08_002773	B9J08_02773	1.506839098
B9J08_003462	B9J08_03462	1.501982437
B9J08_000829	B9J08_00829	1.489677831
B9J08_005080	B9J08_05080	1.48179137
B9J08_002255	B9J08_02255	1.479092963
B9J08_004104	B9J08_04104	1.467950744
B9J08_000501	B9J08_00501	1.45714685
B9J08_004637	B9J08_04637	1.455691341
B9J08_002652	B9J08_02652	1.446867331
B9J08_002165	B9J08_02165	1.445820057
B9J08_001831	B9J08_01831	1.435245935
B9J08_000474	B9J08_00474	1.432039859
B9J08_003392	B9J08_03392	1.422306814
B9J08_000847	B9J08_00847	1.421952238
B9J08_002201	B9J08_02201	1.416522057
B9J08_000925	B9J08_00925	1.416370167
B9J08_001235	B9J08_01235	1.415491933
B9J08_005147	B9J08_05147	1.408937939
B9J08_002027	B9J08_02027	1.405541296
B9J08_004877	B9J08_04877	1.395486403
B9J08_004458	B9J08_04458	1.386041936
B9J08_005081	B9J08_05081	1.382096582
B9J08_002256	B9J08_02256	1.374025612
B9J08_002628	B9J08_02628	1.37311386
B9J08_004351	B9J08_04351	1.372323598
B9J08_003258	B9J08_03258	1.370250439
B9J08_003969	B9J08_03969	1.36947042
B9J08_004027	B9J08_04027	1.366286944
B9J08_003912	B9J08_03912	1.361620139
B9J08_003750	B9J08_03750	1.358237911
B9J08_000928	B9J08_00928	1.351057419
B9J08_004366	B9J08_04366	1.349407636
B9J08_001291	B9J08_01291	1.348252744
B9J08_000010	B9J08_00010	1.348217905
B9J08_004940	B9J08_04940	1.341791862
B9J08_000995	B9J08_00995	1.339178093
B9J08_000591	B9J08_00591	1.338872988
B9J08_003694	B9J08_03694	1.334458586
B9J08_002334	B9J08_02334	1.33277781
B9J08_003909	B9J08_03909	1.329375075
B9J08_003019	B9J08_03019	1.320976477
B9J08_004367	B9J08_04367	1.315577686
B9J08_005002	B9J08_05002	1.304963101
B9J08_001352	B9J08_01352	1.299671292
B9J08_005199	B9J08_05199	1.299319137
B9J08_004934	B9J08_04934	1.293572647
B9J08_004479	B9J08_04479	1.291279426
B9J08_001968	B9J08_01968	1.278800312
B9J08_000873	B9J08_00873	1.274521382
B9J08_000292	B9J08_00292	1.274437913
B9J08_003280	B9J08_03280	1.268298455
B9J08_003397	B9J08_03397	1.267915606
B9J08_001889	B9J08_01889	1.264981697
B9J08_003448	B9J08_03448	1.26239266
B9J08_002576	B9J08_02576	1.258610252
B9J08_002351	B9J08_02351	1.257597594
B9J08_002669	B9J08_02669	1.257299921
B9J08_000905	B9J08_00905	1.251078542
B9J08_003689	B9J08_03689	1.245533059
B9J08_001371	B9J08_01371	1.245010872
B9J08_003709	B9J08_03709	1.241074103
B9J08_000615	B9J08_00615	1.240361827
B9J08_002886	B9J08_02886	1.233352339
B9J08_003186	B9J08_03186	1.225429528
B9J08_002330	B9J08_02330	1.211410784
B9J08_002279	B9J08_02279	1.209253555
B9J08_002149	B9J08_02149	1.180406083
B9J08_001834	B9J08_01834	1.180190254
B9J08_003564	B9J08_03564	1.170491127
B9J08_000397	B9J08_00397	1.167505209
B9J08_004971	B9J08_04971	1.161945383
B9J08_003337	B9J08_03337	1.16151282
B9J08_000690	B9J08_00690	1.159640301
B9J08_002577	B9J08_02577	1.158977743
B9J08_002763	B9J08_02763	1.158379483
B9J08_000348	B9J08_00348	1.153755243
B9J08_001132	B9J08_01132	1.153198487
B9J08_003955	B9J08_03955	1.1527933
B9J08_004551	B9J08_04551	1.149526839
B9J08_003227	B9J08_03227	1.148941738
B9J08_000043	B9J08_00043	1.148308091
B9J08_001721	B9J08_01721	1.145112246
B9J08_000032	B9J08_00032	1.140238408
B9J08_004135	B9J08_04135	1.133536067
B9J08_005107	B9J08_05107	1.128255748
B9J08_002842	B9J08_02842	1.121847349
B9J08_004316	B9J08_04316	1.120148103
B9J08_001041	B9J08_01041	1.113519943
B9J08_004524	B9J08_04524	1.111695308
B9J08_000814	B9J08_00814	1.106923919
B9J08_005255	B9J08_05255	1.105090148
B9J08_000029	B9J08_00029	1.103844648
B9J08_004113	B9J08_04113	1.098371596
B9J08_001116	B9J08_01116	1.097689995
B9J08_004939	B9J08_04939	1.090402173
B9J08_000071	B9J08_00071	1.088904288
B9J08_001480	B9J08_01480	1.088880736
B9J08_005386	B9J08_05386	1.081505886
B9J08_001008	B9J08_01008	1.075983637
B9J08_001224	B9J08_01224	1.070122346
B9J08_005302	B9J08_05302	1.068930939
B9J08_004988	B9J08_04988	1.066356975
B9J08_003744	B9J08_03744	1.062372202
B9J08_002972	B9J08_02972	1.061141096
B9J08_004098	B9J08_04098	1.05257018
B9J08_005514	B9J08_05514	1.04998236
B9J08_003948	B9J08_03948	1.041778477
B9J08_004750	B9J08_04750	1.04142699
B9J08_000824	B9J08_00824	1.036064202
B9J08_004584	B9J08_04584	1.034695349
B9J08_004847	B9J08_04847	1.030892129
B9J08_001615	B9J08_01615	1.01645477
B9J08_002259	B9J08_02259	1.013420443
B9J08_001364	B9J08_01364	1.013349827
B9J08_004883	B9J08_04883	1.008898745
B9J08_004793	B9J08_04793	1.006019951
B9J08_000593	B9J08_00593	1.001919155
B9J08_003070	B9J08_03070	1.001819233
B9J08_005078	B9J08_05078	-1.004787823
B9J08_000169	B9J08_00169	-1.0297991
B9J08_003190	B9J08_03190	-1.030146379
B9J08_002262	B9J08_02262	-1.033051491
B9J08_000645	B9J08_00645	-1.036971715
B9J08_004475	B9J08_04475	-1.053056284
B9J08_002110	B9J08_02110	-1.063100053
B9J08_002481	B9J08_02481	-1.106242813
B9J08_000634	B9J08_00634	-1.106976514
B9J08_000777	B9J08_00777	-1.132879158
B9J08_000844	B9J08_00844	-1.133775112
B9J08_005322	B9J08_05322	-1.134620932
B9J08_003016	B9J08_03016	-1.138794075
B9J08_002556	B9J08_02556	-1.140094892
B9J08_001686	B9J08_01686	-1.153937693
B9J08_003585	B9J08_03585	-1.165568286
B9J08_003914	B9J08_03914	-1.186082517
B9J08_001428	B9J08_01428	-1.23190944
B9J08_000036	B9J08_00036	-1.247620596
B9J08_001952	B9J08_01952	-1.267775146
B9J08_001894	B9J08_01894	-1.325015274
B9J08_003903	B9J08_03903	-1.331949267
B9J08_004360	B9J08_04360	-1.348717312
B9J08_001670	B9J08_01670	-1.369156845
B9J08_003408	B9J08_03408	-1.374410495
B9J08_003684	B9J08_03684	-1.389846509
B9J08_002218	B9J08_02218	-1.446723892
B9J08_005563	B9J08_05563	-1.468112392
B9J08_004468	B9J08_04468	-1.512088409
B9J08_002616	B9J08_02616	-1.532016802
B9J08_000701	B9J08_00701	-1.54217742
B9J08_000918	B9J08_00918	-1.544175523
B9J08_002108	B9J08_02108	-1.553393822
B9J08_001792	B9J08_01792	-1.589386486
B9J08_001292	B9J08_01292	-1.607702924
B9J08_005006	B9J08_05006	-1.654381752
B9J08_001948	B9J08_01948	-1.659633114
B9J08_004797	B9J08_04797	-1.68511348
B9J08_002217	B9J08_02217	-1.789220392
B9J08_004886	B9J08_04886	-1.836682685
B9J08_001450	B9J08_01450	-1.868066331
B9J08_002295	B9J08_02295	-1.903880159
B9J08_004378	B9J08_04378	-1.919507359
B9J08_001519	B9J08_01519	-1.993662445
B9J08_000656	B9J08_00656	-2.051568767
B9J08_002974	B9J08_02974	-2.093548366
B9J08_002582	B9J08_02582	-2.156327898
B9J08_004884	B9J08_04884	-2.701784466
B9J08_003908	B9J08_03908	-2.75666127
B9J08_001548	B9J08_01548	-2.888970624
B9J08_001549	B9J08_01549	-3.152345182
B9J08_001546	B9J08_01546	-3.233771041
B9J08_002136	B9J08_02136	-8.756698989
